,title,compressibility
0,Quantum Project,0.30314712674389754
1,Queen of the Damned,0.24871968460037433
2,"Queen, The",0.20920298397758677
3,Wag the Dog,0.2620414116751752
4,"Walk to Remember, A",0.24946841386036436
5,Walking Tall,0.19797166220563317
6,Wall Street,0.36659450097423685
7,Wall Street: Money Never Sleeps,0.23421401438958597
8,Wall-E,0.22354370759089393
9,Wanted,0.2797528669313206
10,War for the Planet of the Apes,0.28904689622113927
11,War Horse,0.22135247876884212
12,War of the Worlds,0.20921735030645922
13,Warm Springs,0.2588662311783811
14,Warrior,0.21816535645572707
15,Watchmen,0.28289396848532417
16,Water for Elephants,0.25158226545846607
17,"Way Back, The",0.24924115273363567
18,We Own the Night,0.21920578596730286
19,What About Bob?,0.19496955906770802
20,What Lies Beneath,0.27177425493194574
21,When a Stranger Calls,0.20922687669611703
22,When Harry Met Sally,15.0
23,While She Was Out,0.2612978846631181
24,"Whistleblower, The",0.26787022548638306
25,White Christmas,0.20590456763238416
26,White Jazz,0.2741772183030755
27,"White Ribbon, The",0.30304276532586744
28,White Squall,0.2771667944730487
29,Whiteout,0.21500164059936563
30,Who Framed Roger Rabbit?,0.2684641602532717
31,Who's Your Daddy,0.22288794642468365
32,Wild At Heart,0.3328872592850413
33,"Wild Bunch, The",0.29461954644871646
34,Wild Hogs,0.2235333148026935
35,Wild Things,0.24904113709859366
36,Wild Things: Diamonds in the Rough,0.21683443440496125
37,Wild Wild West,0.24840291633258124
38,Willow,0.28624020475781425
39,Win Win,0.16528939781436214
40,Wind Chill,0.2512976552711652
41,Withnail and I,0.310040720336215
42,Witness,0.22758570306649864
43,"Wizard of Oz, The",0.2194033216879928
44,"Wolf of Wall Street, The",0.22805308379302142
45,Wonder Boys,0.3407391268127319
46,Wonder Woman,0.2393246235935851
47,"Woodsman, The",0.16101386796862827
48,"World is not Enough, The",0.2766136594140498
49,"Wrestler, The",0.20671473383989403
50,E.T.,0.31860943998061936
51,Eagle Eye,0.3031138193908899
52,Eastern Promises,0.2229410155181175
